Site Name;Latitude;Longitude;Provinces;Territoire;Zone;Population;Population Range;Nearest Site;Distance;Distance Level;300 Sites planned
Part2_23453_NewSite_15_450_750004;-2.954049;29.074564;Sud-Kivu;Uvira;;1111;1. 1K~3K;Luberizi_SKV;5000,1;>5km;No
Part1_23453_NewSite_1_253_50003;-4.843332;15.530283;Kongo Central;Kasangulu;;1667;1. 1K~3K;BC_02_3188_C0;5000,2;>5km;No
Part2_23453_NewSite_2_726_100006;0.052452;19.326008;Equateur;Bolomba;;422;0. <1K;UL_Djowa_EQT;5001,1;>5km;No
Part1_23453_NewSite_5_511_250004;-6.004825;22.892703;Kasai Central;Dibaya;;1173;1. 1K~3K;CD2435;5001,6;>5km;No
Part1_23453_NewSite_1_545_50002;-5.448223;12.693147;Kongo Central;Lukula;;2809;1. 1K~3K;BC_03_168_C0;5002,3;>5km;No
Part1_23453_NewSite_1_504_51031;-5.377995;14.842338;Kongo Central;Mbanza-Ngungu;;998;0. <1K;BC_03_19443_C0;5004,0;>5km;No
Part1_23453_NewSite_1_216_51031;-4.813687;13.890975;Kongo Central;Luozi;;545;0. <1K;BC_03_038_C0;5004,1;>5km;No
Part2_23453_NewSite_3_782_151007;3.240539;29.523866;Haut-Uele;Watsa;;2686;1. 1K~3K;CD2193;5004,3;>5km;No
Part1_23453_NewSite_8_775_402218;-5.009014;18.474038;Kwilu;Bulungu;;2310;1. 1K~3K;BD_04_762_C0;5004,8;>5km;No
Part2_23453_NewSite_9_914_450007;-4.402013;26.713013;Maniema;Kasongo;;3128;2. 3K~5K;CD5008;5006,2;>5km;No
Part1_23453_NewSite_12_870_600006;-10.888069;25.703848;Lualaba;Mutshatsha;;973;0. <1K;CD3887;5006,8;>5km;No
Part1_23453_NewSite_5_494_250006;-5.834766;22.279001;Kasai Central;Demba;;5110;3. 5K~10K;KO_04_15025_C0;5007,0;>5km;No
Part1_23453_NewSite_3_724_151155;-11.505845;27.861209;Haut-Katanga;Kipushi;;798;0. <1K;CD1834;5007,8;>5km;No
Part1_23453_NewSite_12_869_600010;-10.897217;25.454012;Lualaba;Mutshatsha;;298;0. <1K;KT_07_517_C0;5008,1;>5km;No
Part2_23453_NewSite_4_494_200010;2.731194;30.609111;Ituri;Mahagi;;10965;4. 10K~20K;UL_Ameri_POR;5008,6;>5km;No
Part2_23453_NewSite_12_890_600012;-1.641165;28.7929;Nord-Kivu;Masisi;;3674;2. 3K~5K;KV_08_3263_C0;5009,1;>5km;No
Part2_23453_NewSite_3_834_150644;2.696045;27.442339;Haut-Uele;Rungu;;2712;1. 1K~3K;CD4928;5010,2;>5km;No
Part1_23453_NewSite_8_911_400004;-5.714148;19.580419;Kwilu;Gungu;;4209;2. 3K~5K;BD_04_865_C0;5010,8;>5km;No
Part2_23453_NewSite_4_755_200713;2.152394;30.732613;Ituri;Mahagi;;14181;4. 10K~20K;CD2340;5011,1;>5km;No
